"Tag","Oil_Tag","Total_Tag","Region_Tag","fl_name","variable","value","date_field"
"Other products","Other Products","Non Total","Europe",2016-12-13,"2Q15",1.23,2015-04-01
"Total","","Total ","Europe",2016-12-13,"2Q15",13.57,2015-04-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"2Q15",0.71,2015-04-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"2Q15",1.88,2015-04-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"2Q15",1.51,2015-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"2Q15",0.69,2015-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"2Q15",1.73,2015-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"2Q15",0.61,2015-04-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"2Q15",0.44,2015-04-01
"Total","","Total","Asia Oceania",2016-12-13,"2Q15",7.57,2015-04-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"2Q15",4.83,2015-04-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"2Q15",3.28,2015-04-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"2Q15",14.47,2015-04-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"2Q15",3.85,2015-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"2Q15",12.72,2015-04-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"2Q15",1.95,2015-04-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"2Q15",4.23,2015-04-01
"Total","","Total ","OECD",2016-12-13,"2Q15",45.33,2015-04-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"3Q15",3.02,2015-07-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"3Q15",0.32,2015-07-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"3Q15",11.17,2015-07-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"3Q15",1.89,2015-07-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"3Q15",5.15,2015-07-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"3Q15",0.63,2015-07-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"3Q15",2.65,2015-07-01
"Total","","Total","Americas",2016-12-13,"3Q15",24.83,2015-07-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"3Q15",1.11,2015-07-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"3Q15",1.07,2015-07-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"3Q15",2.03,2015-07-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"3Q15",1.49,2015-07-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"3Q15",6.26,2015-07-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"3Q15",0.9,2015-07-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"3Q15",1.3,2015-07-01
"Total","","Total ","Europe",2016-12-13,"3Q15",14.16,2015-07-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"3Q15",0.74,2015-07-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"3Q15",1.95,2015-07-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"3Q15",1.62,2015-07-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"3Q15",0.7,2015-07-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"3Q15",1.73,2015-07-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"3Q15",0.55,2015-07-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"3Q15",0.43,2015-07-01
"Total","","Total","Asia Oceania",2016-12-13,"3Q15",7.7,2015-07-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"3Q15",4.87,2015-07-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"3Q15",3.34,2015-07-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"3Q15",14.81,2015-07-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"3Q15",4.08,2015-07-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"3Q15",13.13,2015-07-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"3Q15",2.08,2015-07-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"3Q15",4.37,2015-07-01
"Total","","Total ","OECD",2016-12-13,"3Q15",46.69,2015-07-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"4Q15",3.37,2015-10-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"4Q15",0.35,2015-10-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"4Q15",10.9,2015-10-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"4Q15",1.85,2015-10-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"4Q15",5.03,2015-10-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"4Q15",0.62,2015-10-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"4Q15",2.34,2015-10-01
"Total","","Total","Americas",2016-12-13,"4Q15",24.47,2015-10-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"4Q15",1.12,2015-10-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"4Q15",1.1,2015-10-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"4Q15",1.9,2015-10-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"4Q15",1.25,2015-10-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"4Q15",6.27,2015-10-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"4Q15",0.92,2015-10-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"4Q15",1.14,2015-10-01
"Total","","Total ","Europe",2016-12-13,"4Q15",13.71,2015-10-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"4Q15",0.76,2015-10-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"4Q15",1.99,2015-10-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"4Q15",1.57,2015-10-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"4Q15",0.96,2015-10-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"4Q15",1.84,2015-10-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"4Q15",0.64,2015-10-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"4Q15",0.42,2015-10-01
"Total","","Total","Asia Oceania",2016-12-13,"4Q15",8.17,2015-10-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"4Q15",5.25,2015-10-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"4Q15",3.45,2015-10-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"4Q15",14.37,2015-10-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"4Q15",4.06,2015-10-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"4Q15",13.14,2015-10-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"4Q15",2.18,2015-10-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"4Q15",3.89,2015-10-01
"Total","","Total ","OECD",2016-12-13,"4Q15",46.35,2015-10-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"1Q16",3.55,2016-01-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"1Q16",0.35,2016-01-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"1Q16",10.85,2016-01-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"1Q16",1.78,2016-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"1Q16",5.06,2016-01-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"1Q16",0.58,2016-01-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"1Q16",2.3,2016-01-01
"Total","","Total","Americas",2016-12-13,"1Q16",24.48,2016-01-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"1Q16",1.22,2016-01-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"1Q16",1.24,2016-01-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"1Q16",1.79,2016-01-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"1Q16",1.24,2016-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"1Q16",6.1,2016-01-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"1Q16",0.96,2016-01-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"1Q16",1.08,2016-01-01
"Total","","Total ","Europe",2016-12-13,"1Q16",13.63,2016-01-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"1Q16",0.83,2016-01-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"1Q16",2,2016-01-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"1Q16",1.52,2016-01-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"1Q16",1.17,2016-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"1Q16",1.83,2016-01-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"1Q16",0.75,2016-01-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"1Q16",0.44,2016-01-01
"Total","","Total","Asia Oceania",2016-12-13,"1Q16",8.54,2016-01-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"1Q16",5.6,2016-01-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"1Q16",3.59,2016-01-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"1Q16",14.16,2016-01-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"1Q16",4.19,2016-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"1Q16",12.99,2016-01-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"1Q16",2.29,2016-01-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"1Q16",3.82,2016-01-01
"Total","","Total ","OECD",2016-12-13,"1Q16",46.65,2016-01-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"Feb 16",3.6,2016-02-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"Feb 16",0.34,2016-02-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"Feb 16",10.95,2016-02-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"Feb 16",1.8,2016-02-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"Feb 16",5.16,2016-02-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"Feb 16",0.45,2016-02-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"Feb 16",2.43,2016-02-01
"Total","","Total","Americas",2016-12-13,"Feb 16",24.71,2016-02-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"Feb 16",1.27,2016-02-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"Feb 16",1.25,2016-02-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"Feb 16",1.83,2016-02-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"Feb 16",1.27,2016-02-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"Feb 16",6.31,2016-02-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"Feb 16",0.96,2016-02-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"Feb 16",1.07,2016-02-01
"Total","","Total ","Europe",2016-12-13,"Feb 16",13.97,2016-02-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"Feb 16",0.89,2016-02-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"Feb 16",2.1,2016-02-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"Feb 16",1.54,2016-02-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"Feb 16",1.24,2016-02-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"Feb 16",1.89,2016-02-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"Feb 16",0.76,2016-02-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"Feb 16",0.45,2016-02-01
"Total","","Total","Asia Oceania",2016-12-13,"Feb 16",8.88,2016-02-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"Feb 16",5.76,2016-02-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"Feb 16",3.7,2016-02-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"Feb 16",14.32,2016-02-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"Feb 16",4.31,2016-02-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"Feb 16",13.36,2016-02-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"Feb 16",2.16,2016-02-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"Feb 16",3.95,2016-02-01
"Total","","Total ","OECD",2016-12-13,"Feb 16",47.57,2016-02-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"Mar 16",3.28,2016-03-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"Mar 16",0.34,2016-03-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"Mar 16",11.18,2016-03-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"Mar 16",1.83,2016-03-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"Mar 16",5.1,2016-03-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"Mar 16",0.71,2016-03-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"Mar 16",2.25,2016-03-01
"Total","","Total","Americas",2016-12-13,"Mar 16",24.7,2016-03-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"Mar 16",1.15,2016-03-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"Mar 16",1.23,2016-03-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"Mar 16",1.86,2016-03-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"Mar 16",1.27,2016-03-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"Mar 16",6.33,2016-03-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"Mar 16",0.96,2016-03-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"Mar 16",1.19,2016-03-01
"Total","","Total ","Europe",2016-12-13,"Mar 16",13.99,2016-03-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"Mar 16",0.85,2016-03-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"Mar 16",1.83,2016-03-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"Mar 16",1.56,2016-03-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"Mar 16",1.05,2016-03-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"Mar 16",1.9,2016-03-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"Mar 16",0.76,2016-03-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"Mar 16",0.39,2016-03-01
"Total","","Total","Asia Oceania",2016-12-13,"Mar 16",8.34,2016-03-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"Mar 16",5.27,2016-03-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"Mar 16",3.41,2016-03-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"Mar 16",14.6,2016-03-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"Mar 16",4.15,2016-03-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"Mar 16",13.33,2016-03-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"Mar 16",2.44,2016-03-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"Mar 16",3.83,2016-03-01
"Total","","Total ","OECD",2016-12-13,"Mar 16",47.02,2016-03-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"Apr 16",2.98,2016-04-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"Apr 16",0.34,2016-04-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"Apr 16",10.95,2016-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"Apr 16",1.82,2016-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"Apr 16",5.01,2016-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"Apr 16",0.74,2016-04-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"Apr 16",2.25,2016-04-01
"Total","","Total","Americas",2016-12-13,"Apr 16",24.09,2016-04-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"Apr 16",1.17,2016-04-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"Apr 16",1.18,2016-04-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"Apr 16",1.94,2016-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"Apr 16",1.33,2016-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"Apr 16",6.29,2016-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"Apr 16",0.92,2016-04-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"Apr 16",1.2,2016-04-01
"Total","","Total ","Europe",2016-12-13,"Apr 16",14.03,2016-04-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"Apr 16",0.86,2016-04-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"Apr 16",1.85,2016-04-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"Apr 16",1.52,2016-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"Apr 16",0.84,2016-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"Apr 16",1.8,2016-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"Apr 16",0.67,2016-04-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"Apr 16",0.38,2016-04-01
